Year,co2_per_capita,primary_energy_TWh
1965,7.8937035,776.0533
1966,7.996349,791.1782
1967,8.138128,814.29987
1968,8.597721,876.36676
1969,9.076116,936.06604
1970,9.345997,987.92114
1971,9.547403,1019.14355
1972,9.972351,1074.9188
1973,10.067717,1095.064
1974,10.291654,1131.2563
1975,11.034498,1220.2694
1976,11.608108,1285.5217
1977,12.069676,1340.4155
1978,12.333755,1407.3623
1979,12.519969,1428.2526
1980,13.023452,1495.6301
1981,11.392384,1348.4725
1982,11.618277,1373.0583
1983,11.511654,1379.3741
1984,11.718143,1433.9169
1985,11.948863,1466.4424
1986,12.064544,1507.76
1987,12.311799,1556.6346
1988,11.746565,1526.9053
1989,11.128002,1469.5234
1990,9.897169,1210.3297
1991,9.792763,1184.1641
1992,9.533767,1132.3966
1993,9.535867,1131.8475
1994,9.394311,1083.18
1995,9.451782,1108.7225
1996,9.835599,1163.9498
1997,9.576317,1152.5406
1998,8.847057,1104.1995
1999,8.599777,1082.7218
2000,8.297652,1017.52454
2001,8.196662,1010.4564
2002,8.007525,999.5792
2003,8.348735,1034.2067
2004,8.483548,1041.2186
2005,8.466197,1061.9366
2006,8.840739,1110.359
2007,8.835365,1104.644
2008,8.673716,1124.4279
2009,8.316445,1085.191
2010,8.773312,1157.2504
2011,8.731046,1162.6655
2012,8.52221,1127.9269
2013,8.41436,1131.3181
2014,8.090823,1089.3545
2015,8.173148,1103.0131
2016,8.456021,1150.2451
2017,8.803221,1208.289
2018,8.78818,1222.0825
2019,8.311772,1187.2677
2020,7.9231005,1139.2343
2021,8.700757,1224.7583
2022,8.207275,1186.8682
2023,7.462856,1132.8801
